1466135776.36,test Title,E1,0,0
1466257340.32,盗墓开始,E1,-1,-1
1466257522.18,作者意图,E1,-1,-1
1466257532.88,作者意图,E1,-1,-1
1466257539.97,作者意图,E1,-1,-1
1466257550.37,作者意图,E1,-1,-1
1466257550.52,作者意图,E1,-1,-1
1466257550.66,作者意图,E1,-1,-1
1466257551.05,作者意图,E1,-1,-1
1466257551.34,作者意图,E1,-1,-1
1466257551.74,作者意图,E1,-1,-1
1466257585.49,开始叙述,E1,-1,-1
1466257590.22,开始叙述,E1,-1,-1
1466257591.22,开始叙述,E1,-1,-1
1466257591.42,开始叙述,E1,-1,-1
1466257591.64,开始叙述,E1,-1,-1
1466257591.93,开始叙述,E1,-1,-1
1466257592.09,开始叙述,E1,-1,-1
1466257673.76,作者意图,E1,-1,-1
1466257763.31,666,E1,-1,-1
1466343093.4,读书笔记,E1,-1,-1
1466343970.37,回忆,E1,-1,-1
